Released in version:,Subfeature ID,Journey,Add-on,Feature,Sub Feature,Mobile,Web,Essential,Premium,Signature
2022.08-LTS or earlier,RB.1.1.1,App Foundation ,,Locale Selector ,Select locale before the device registration ,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.1.1.2,App Foundation ,,Locale Selector ,Switch to a different locale in the app,Available ,Available ,true,true,true
2022.08-LTS or earlier,RB.1.2.1,App Foundation ,,More Menu/Quick actions,Navigation point for journeys within the app,Available ,Available ,true,true,true
2024.03-LTS,RB.1.2.2,App Foundation ,,Profile menu,Navigation point for journeys related to the customer profile,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.1.3.1,App Foundation ,,Navigation ,Entitlement-driven navigation ,Available ,Available ,true,true,true
2024.03-LTS,RB.1.3.2,App Foundation ,,Navigation ,Brandable header component  ,Available ,NA,true,true,true
2024.03-LTS,RB.1.3.3,App Foundation ,,Navigation ,Primary navigation bar including tabs for different app 'hubs',Available ,NA,true,true,true
2024.03-LTS,RB.1.3.4,App Foundation ,,Navigation ,"Tab Header navigation including configurable profile menu, notification entry point, and header sub-tabs",Available ,NA,true,true,true
2022.08-LTS or earlier,RB.1.4.1,App Foundation ,,Select Context ,Choose a user context / workspace on login ,Available ,Available ,true,true,true
2022.08-LTS or earlier,RB.1.4.2,App Foundation ,,Switch Context ,Switch to a different user context / workspace in the app ,Available ,Available ,true,true,true
2023.07,RB.1.5.1,App Foundation ,,Remote Config,"Manage Apps in Apps Stores, Deprecate/Disable",Available ,NA,true,true,true
2023.07,RB.1.5.2,App Foundation ,,Remote Config,Manage remote Feature Toggles,Available ,Available ,true,true,true
2024.08,RB.1.5.3,App Foundation ,,Remote Config,Show/hide Maintenance Banner ,Not Available ,Available ,true,true,true
2024.09-LTS,RB 1.5.4,App Foundation ,,Remote Config,Rollout a new feature,Available ,Available ,true,true,true
2024.1,RB 1.5.5,App Foundation ,,Remote Config,"Remotely configure themes, navigation, and dashboard layouts for different user plans",Available ,Available ,true,true,true
2025.03-LTS,RB 1.5.6,App Foundation ,,Remote Config,Use native app rating dialog in the app,,,true,true,true
2024.04,RB.1.6.1,App Foundation ,,Splash Screen,Animated Splash Screen,Available ,NA,true,true,true
2024.04,RB.1.7.1,App Foundation ,,Transition Screen,Animated Transition Screen,Available ,NA,true,true,true
2025.03-LTS,RB.1.8.1,App Foundation ,,FDIC Banner,FDIC Signage Banner in apps to ensure compliance with new regulatory requirement,Available ,Available ,true,true,true
2022.08-LTS or earlier,RB.2.1.1,User Self-Enrollment,,Device registration (Mobile enrollment),Log in with a username and password,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.1.2,User Self-Enrollment,,Device registration (Mobile enrollment),OTP verification during device registration (SMS),Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.1.3,User Self-Enrollment,,Device registration (Mobile enrollment),OTP verification during device registration (Email),Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.1.4,User Self-Enrollment,,Device registration (Mobile enrollment),Create a passcode ,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.1.5,User Self-Enrollment,,Device registration (Mobile enrollment),Set up biometrics,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.1.6,User Self-Enrollment,,Device registration (Mobile enrollment),Set a new password after device registration,Available ,NA,true,true,true
2024.01,RB.2.1.7,User Self-Enrollment,,Device registration (Mobile enrollment),Accept terms and conditions after device registration,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.2.1,User Self-Enrollment,,Mobile self-enrollment,Navigate to self-enrollment on the web,Available ,NA,true,true,true
2023.12,RB.2.2.2,User Self-Enrollment,,Mobile self-enrollment,Navigate to new customer onboarding,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.3.1,User Self-Enrollment,,Web self-enrollment,"View instructions, accept terms and conditions, and agree to the privacy policy",NA,Available ,true,true,true
2022.08-LTS or earlier,RB.2.3.2,User Self-Enrollment,,Web self-enrollment,Identify the account,NA,Available ,true,true,true
2022.08-LTS or earlier,RB.2.3.3,User Self-Enrollment,,Web self-enrollment,Verify account with an OTP (SMS or email),NA,Available ,true,true,true
2022.08-LTS or earlier,RB.2.3.4,User Self-Enrollment,,Web self-enrollment,Create a username,NA,Available ,true,true,true
2022.08-LTS or earlier,RB.2.3.5,User Self-Enrollment,,Web self-enrollment,Create a password,NA,Available ,true,true,true
2022.08-LTS or earlier,RB.2.4.1,User Self-Enrollment,,Recover a forgotten username,Retrieve the username by providing the email address ,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.5.1,User Self-Enrollment,,Reset a forgotten password,OTP verification (email),Available ,NA,true,true,true
2022.08-LTS or earlier,RB.2.5.2,User Self-Enrollment,,Reset a forgotten password,OTP verification (SMS),Available ,NA,true,true,true
2025.04,RB.2.5.3,User Self-Enrollment,,Reset a forgotten password,Set a new password after the identity verification via OTP,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.3.1.1,Authentication ,,Mobile login,Log in with biometrics (Fingerprint or Face ID),Available ,NA,true,true,true
2022.08-LTS or earlier,RB.3.1.2,Authentication ,,Mobile login,Log in with passcode,Available ,NA,true,true,true
2024.07,RB.3.1.3,Authentication ,,Mobile login,Log in with a username and password,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.3.1.4,Authentication ,,Mobile login,Brute force protection on passcode failure,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.3.1.5,Authentication,,Mobile login,Set a new password after login,Available ,NA,true,true,true
2022.08-LTS or earlier,RB.3.1.6,Authentication,,Mobile login,Accept updated terms and conditions after login,Available ,NA,true,true,true
